,id,name,country
0,3Y10boYzeuFCJ4Qgp53w6o,Scissor Sisters,United States
1,3oDbviiivRWhXwIE8hxkVV,The Beach Boys,United States
2,2HcwFjNelS49kFbfvMxQYw,Robbie Williams,United Kingdom
3,0uq5PttqEjj3IH1bzwcrXF,Spice Girls,United Kingdom
4,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,United States
5,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,United Kingdom
6,6zlR5ttMfMNmwf2lecU9Cc,Sam Fender,United Kingdom
7,00x1fYSGhdqScXBRpSj3DW,Olivia Dean,United Kingdom
8,0C0XlULifJtAgn6ZNCW2eu,The Killers,United States
9,0sHeX8oQ6o7xic3wMf4NBU,Supergrass,United Kingdom
10,3RGLhK1IP9jnYFH4BRFJBS,The Clash,United Kingdom
11,3hv9jJF3adDNsBSIQDqcjp,Mark Ronson,United Kingdom
12,6Q192DXotxtaysaqNPy5yR,Amy Winehouse,United Kingdom
13,5gxynDEKwNDgxGJmJjZyte,Steve Winwood,United Kingdom
14,0RpddSzUHfncUWNJXKOsjy,Neon Trees,United States
15,22wbnEMDvgVIAGdFeek6ET,Benson Boone,United States
16,4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,United States
17,1pgtr4nhBQjp9oCUBPyYWh,Fountains Of Wayne,United States
18,0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,Canada
19,0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,Canada
20,1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,United States
21,1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,United States
22,5RTLRtXjbXI2lSXc6jxlAz,Ravyn Lenae,United States
23,74XFHRwlV6OrjEM0A2NCMF,Paramore,United States
24,22RISwgVJyZu9lpqAcv1F5,Blossoms,United Kingdom
25,6zlR5ttMfMNmwf2lecU9Cc,Sam Fender,United Kingdom
26,7GlBOeep6PqTfFi59PTUUN,Chappell Roan,United States
27,7GlBOeep6PqTfFi59PTUUN,Chappell Roan,United States
28,0LbLWjaweRbO4FDKYlbfNt,Kaiser Chiefs,United Kingdom
29,0LbLWjaweRbO4FDKYlbfNt,Kaiser Chiefs,United Kingdom
30,3M4ThdJR28z9eSMcQHAZ5G,The Fratellis,United Kingdom
31,3M4ThdJR28z9eSMcQHAZ5G,The Fratellis,United Kingdom
32,11wRdbnoYqRddKBrpHt4Ue,Kasabian,United Kingdom
33,3f5W9NEwkc1SAIPFuumcaf,Jamelia,United Kingdom
34,7FBcuc1gsnv6Y1nwFtNRCb,My Chemical Romance,United States
35,6zFYqv1mOsgBRQbae3JJ9e,Billy Joel,United States
36,0DR4z5jMA1eqx0CmHBUpkr,DJ Ötzi,Austria
37,536BYVgOnRky0xjsPT96zl,Two Door Cinema Club,Northern Ireland
38,1dWEYMPtNmvSVaDNLgB6NV,Saint Motel,United States
39,0RpddSzUHfncUWNJXKOsjy,Neon Trees,United States
40,3kVUvbeRdcrqQ3oHk5hPdx,GROUPLOVE,United States
41,1dWEYMPtNmvSVaDNLgB6NV,Saint Motel,United States
42,7A9yZMTrFZcgEWAX2kBfK6,Huey Lewis & The News,United States
43,59oA5WbbQvomJz2BuRG071,Jungle,United Kingdom
44,29WzbAQtDnBJF09es0uddn,Corinne Bailey Rae,United Kingdom
45,3mY9Ii0cL5SQxpOTAm8SHx,Warren Zevon,United States
46,1dWEYMPtNmvSVaDNLgB6NV,Saint Motel,United States
47,0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,Canada
48,7jefIIksOi1EazgRTfW2Pk,Electric Light Orchestra,United Kingdom
49,3PhoLpVuITZKcymswpck5b,Elton John,United Kingdom
50,3oIj2x6uKeZSe9Bprnt4TX,Remember Monday,United Kingdom
51,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,United States
52,7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,United States
53,5T0MSzX9RC5NA6gAI6irSn,Estelle,United Kingdom
54,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,United States
55,4Rxn7Im3LGfyRkY2FlHhWi,Nick Jonas,United States
56,1G9G7WwrXka3Z1r7aIDjI7,Outkast,United States
57,69ftfICho7bWPjTg6EgHr4,Andrew Austin,Canada
58,2D4FOOOtWycb3Aw9nY5n3c,Declan McKenna,United Kingdom
59,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,United States
60,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,United States
61,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,United States
62,3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,United States
63,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,United States
64,4fwuXg6XQHfdlOdmw36OHa,Paloma Faith,United Kingdom
65,68EB3QvNdVLkC7SAgDbHIR,Marianas Trench,Canada
66,69ftfICho7bWPjTg6EgHr4,Andrew Austin,Canada
67,2feDdbD5araYcm6JhFHHw7,Labrinth,United Kingdom
68,0Tob4H0FLtEONHU1MjpUEp,Tinie Tempah,United Kingdom
69,1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,United States
70,1BEUkE2CSUgHTLSBMZdnFB,Mae Muller,London
71,6FBDaR13swtiWwGhX1WQsP,blink-182,United States
72,5zzrJD2jXrE9dZ1AklRFcL,KT Tunstall,United Kingdom
73,4kI8Ie27vjvonwaB2ePh8T,Portugal. The Man,United States
74,1moxjboGR7GNWYIMWsRjgG,Florence + The Machine,England
75,2NhdGz9EDv2FeUw6udu2g1,The Wanted,United Kingdom
76,7CajNmpbOovFoOoasH2HaY,Calvin Harris,Scotland
77,0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,United Kingdom
78,7CajNmpbOovFoOoasH2HaY,Calvin Harris,Scotland
79,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,United States
80,2NhdGz9EDv2FeUw6udu2g1,The Wanted,United Kingdom
81,3oDbviiivRWhXwIE8hxkVV,The Beach Boys,United States
82,3oDbviiivRWhXwIE8hxkVV,The Beach Boys,United States
83,3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,United States
84,7G1GBhoKtEPnP86X2PvEYO,Nina Simone,United States
85,6vWDO969PvNqNYHIOW5v0m,Beyoncé,United States
86,6vWDO969PvNqNYHIOW5v0m,Beyoncé,United States
87,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,United States
88,3whuHq0yGx60atvA2RCVRW,Olly Murs,United Kingdom
89,5EvFsr3kj42KNv97ZEnqij,Shaggy,Jamaica
90,3whuHq0yGx60atvA2RCVRW,Olly Murs,United Kingdom
91,1Bk2KyFVMN5PeyVyDIiLqF,Lady Leshurr,United Kingdom
92,7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,United States
93,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,United Kingdom
94,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,United Kingdom
95,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,United Kingdom
96,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,United Kingdom
97,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,United Kingdom
98,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,United Kingdom
99,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,United Kingdom
100,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,United Kingdom
101,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,United Kingdom
102,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,United Kingdom
103,7MhMgCo0Bl0Kukl93PZbYS,Blur,United Kingdom
104,7MhMgCo0Bl0Kukl93PZbYS,Blur,United Kingdom
105,7MhMgCo0Bl0Kukl93PZbYS,Blur,United Kingdom
106,2DaxqgrOhkeH0fpeiQq2f4,Oasis,United Kingdom
107,4QQgXkCYTt3BlENzhyNETg,"Earth, Wind & Fire",United States
108,7rZNSLWMjTbwdLNskFbzFf,Sugababes,United Kingdom
109,06HL4z0CvFAxyc27GXpf02,Taylor Swift,United States
110,06HL4z0CvFAxyc27GXpf02,Taylor Swift,United States
111,06HL4z0CvFAxyc27GXpf02,Taylor Swift,United States
112,06HL4z0CvFAxyc27GXpf02,Taylor Swift,United States
113,6jJ0s89eD6GaHleKKya26X,Katy Perry,United States
114,6jJ0s89eD6GaHleKKya26X,Katy Perry,United States
115,6jJ0s89eD6GaHleKKya26X,Katy Perry,United States
116,6jJ0s89eD6GaHleKKya26X,Katy Perry,United States
117,6jJ0s89eD6GaHleKKya26X,Katy Perry,United States
118,7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,United States
119,6jJ0s89eD6GaHleKKya26X,Katy Perry,United States
120,2wpJOPmf1TIOzrB9mzHifd,Scouting For Girls,United Kingdom
121,2wpJOPmf1TIOzrB9mzHifd,Scouting For Girls,United Kingdom
122,2wpJOPmf1TIOzrB9mzHifd,Scouting For Girls,United Kingdom
123,3hv9jJF3adDNsBSIQDqcjp,Mark Ronson,United Kingdom
124,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,United States
125,5WWSL6rElJeUk3Uc1S2RyD,Dead Or Alive,United Kingdom
126,5WWSL6rElJeUk3Uc1S2RyD,Dead Or Alive,United Kingdom
127,4yiQZ8tQPux8cPriYMWUFP,Gwen Stefani,United States
128,0z4gvV4rjIZ9wHck67ucSV,Akon,Senegal
129,2FXC3k01G6Gw61bmprjgqS,Hozier,Ireland
130,2jzc5TC5TVFLXQlBNiIUzE,a-ha,Norway
131,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,United States
132,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,United States
133,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,United States
134,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,United States
135,4vnmifnGOeRXfNTRtgd4Tj,Sexion d'Assaut,France
136,0GOx72r5AAEKRGQFn3xqXK,GIMS,France
137,0GOx72r5AAEKRGQFn3xqXK,GIMS,France
138,0GOx72r5AAEKRGQFn3xqXK,GIMS,France
139,5j4HeCoUlzhfWtjAfM1acR,Stromae,Belgium
140,5j4HeCoUlzhfWtjAfM1acR,Stromae,Belgium
141,5j4HeCoUlzhfWtjAfM1acR,Stromae,Belgium
142,5j4HeCoUlzhfWtjAfM1acR,Stromae,Belgium
143,5j4HeCoUlzhfWtjAfM1acR,Stromae,Belgium
144,5j4HeCoUlzhfWtjAfM1acR,Stromae,Belgium
145,5j4HeCoUlzhfWtjAfM1acR,Stromae,Belgium
146,5j4HeCoUlzhfWtjAfM1acR,Stromae,Belgium
147,6Tz0QRoe083BcOo2YbG9lV,Nena,Germany
148,62GoYifV4njTdvS8lD2yYT,insaneintherainmusic,Boston
149,33YwE27uFjLjx0lAusgLYE,Adriana Figueroa,United States
150,62GoYifV4njTdvS8lD2yYT,insaneintherainmusic,Boston
151,3Ww8GMbCDMAGwJJ2hd7z7z,Lena Raine,United States
152,5qEtLvXzYdv0G7c7rR6irX,Lyn,South Korea
153,5qEtLvXzYdv0G7c7rR6irX,Lyn,South Korea
154,5qEtLvXzYdv0G7c7rR6irX,Lyn,South Korea
155,5qEtLvXzYdv0G7c7rR6irX,Lyn,South Korea
156,5qEtLvXzYdv0G7c7rR6irX,Lyn,South Korea
157,5qEtLvXzYdv0G7c7rR6irX,Lyn,South Korea
158,0uq5PttqEjj3IH1bzwcrXF,Spice Girls,United Kingdom
159,2ysnwxxNtSgbb9t1m2Ur4j,George Ezra,United Kingdom
160,2ysnwxxNtSgbb9t1m2Ur4j,George Ezra,United Kingdom
161,2ysnwxxNtSgbb9t1m2Ur4j,George Ezra,United Kingdom
162,2ysnwxxNtSgbb9t1m2Ur4j,George Ezra,United Kingdom
163,0LcJLqbBmaGUft1e9Mm8HV,ABBA,Sweden
164,5lpH0xAS4fVfLkACg9DAuM,Wham!,United Kingdom
165,0LcJLqbBmaGUft1e9Mm8HV,ABBA,Sweden
166,0LcJLqbBmaGUft1e9Mm8HV,ABBA,Sweden
167,1vCWHaC5f2uS3yhpwWbIA6,Avicii,Sweden
168,5lpH0xAS4fVfLkACg9DAuM,Wham!,United Kingdom
169,5e4Dhzv426EvQe3aDb64jL,Shania Twain,Canada
170,13saZpZnCDWOI9D4IJhp1f,Lily Allen,United Kingdom
171,13saZpZnCDWOI9D4IJhp1f,Lily Allen,United Kingdom
172,13saZpZnCDWOI9D4IJhp1f,Lily Allen,United Kingdom
173,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,United States
174,6vWDO969PvNqNYHIOW5v0m,Beyoncé,United States
175,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,United States
176,7fObcBw9VM3x7ntWKCYl0z,Colby O'Donis,United States
177,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,United States
178,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,United States
179,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,United States
180,6T5tfhQCknKG4UnH90qGnz,DNCE,United States
181,3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson,United States
182,3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson,United States
183,6xeFne1rkxMhKSW3ipvkdV,Toploader,United Kingdom
184,46lnlnlU0dXTDpoAUmH6Qx,Lou Bega,Germany
185,7slfeZO9LsJbWgpkIoXBUJ,Ricky Martin,Puerto Rico
186,7xkAwz0bQTGDSbkofyQt3U,Belinda Carlisle,United States
187,1aX2dmV8XoHYCOQRxjPESG,The Human League,United Kingdom
188,7daPb40K64rRtF36wd3ZOk,Stephen Schwartz,United States
189,3DgcBA7P0ji5co7Z1Gfp2Q,Kristin Chenoweth,United States
190,73Np75Wv2tju61Eo9Zw4IR,Idina Menzel,United States
191,1e6BRnFiiwNZl04xu1yqmi,Stephen Oremus,United States
192,3FUY2gzHeIiaesXtOAdB7A,Train,United States
193,3FUY2gzHeIiaesXtOAdB7A,Train,United States
194,3FUY2gzHeIiaesXtOAdB7A,Train,United States
195,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,United States
196,057gc1fxmJ2vkctjQJ7Tal,The Buggles,United Kingdom
197,0SdiiPkr02EUdekHZJkt58,Hanson,United States
198,06HL4z0CvFAxyc27GXpf02,Taylor Swift,United States
199,7GlBOeep6PqTfFi59PTUUN,Chappell Roan,United States
200,3eVa5w3URK5duf6eyVDbu9,ROSÉ,South Korea
201,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,United States
202,7GlBOeep6PqTfFi59PTUUN,Chappell Roan,United States
203,7GlBOeep6PqTfFi59PTUUN,Chappell Roan,United States
204,7t0rwkOPGlDPEhaOcVtOt9,The Cranberries,Ireland
205,2wY79sveU1sp5g7SokKOiI,Sam Smith,United Kingdom
206,1VBflYyxBhnDc9uVib98rw,Icona Pop,Sweden
207,25uiPmTg16RbhZWAqwLBy5,Charli xcx,England
208,2KsP6tYLJlTBvSUxnwlVWa,Mike Posner,United States
209,1Bo8Afb2Qbjs4x6kJHyjle,Gigamesh,United States
210,7oPftvlwr6VrsViSDV7fJY,Green Day,United States
211,7oPftvlwr6VrsViSDV7fJY,Green Day,United States
212,7oPftvlwr6VrsViSDV7fJY,Green Day,United States
213,7oPftvlwr6VrsViSDV7fJY,Green Day,United States
214,7oPftvlwr6VrsViSDV7fJY,Green Day,United States
215,3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,United States
216,1kMfh3vEY0iWX9SDVjvdsd,Hear'Say,United Kingdom
217,17UkABEasVRlCcIFZ3wHb7,Steps,United Kingdom
218,17UkABEasVRlCcIFZ3wHb7,Steps,United Kingdom
219,6tbjWDEIzxoDsBA1FuhfPW,Madonna,United States
220,6tbjWDEIzxoDsBA1FuhfPW,Madonna,United States
221,0NKDgy9j66h3DLnN8qu1bB,Eurythmics,United Kingdom
222,5MspMQqdVbdwP6ax3GXqum,Annie Lennox,United Kingdom
223,7gcCQIlkkfbul5Mt0jBQkg,Dave Stewart,United Kingdom
224,79bxUQsBIXO8nVLB9fYKf7,Modern Talking,Germany
225,5MmVJVhhYKQ86izuGHzJYA,MIKA,United Kingdom
226,5MmVJVhhYKQ86izuGHzJYA,MIKA,United Kingdom
227,0E3lRHTut04XpirvWC45bn,Ryan McCartan,United States
228,5yCkSShz4MTqE4Lp6fVZMz,Barrett Wilbert Weed,United States
229,6bXrSoj1NMYCqAp0dEc9NQ,Rachel Flynn,New York
230,69WIieNeF3i0ldgbM9Z00Y,Charissa Hogeland,United States
231,2uZSmvyPg0kEoerFjAe0hq,Anthony Crivello,United States
232,0E3lRHTut04XpirvWC45bn,Ryan McCartan,United States
233,5yCkSShz4MTqE4Lp6fVZMz,Barrett Wilbert Weed,United States
234,5yCkSShz4MTqE4Lp6fVZMz,Barrett Wilbert Weed,United States
235,5pESuWfJEKxJdEEhZKFDC5,Alice Lee,United States
236,5yCkSShz4MTqE4Lp6fVZMz,Barrett Wilbert Weed,United States
237,0E3lRHTut04XpirvWC45bn,Ryan McCartan,United States
238,5yCkSShz4MTqE4Lp6fVZMz,Barrett Wilbert Weed,United States
239,5U2zidY0OdTB6P5axinwOZ,Jessica Keenan Wynn,United States
240,5pESuWfJEKxJdEEhZKFDC5,Alice Lee,United States
241,0E3lRHTut04XpirvWC45bn,Ryan McCartan,United States
242,5yCkSShz4MTqE4Lp6fVZMz,Barrett Wilbert Weed,United States
243,5U2zidY0OdTB6P5axinwOZ,Jessica Keenan Wynn,United States
244,5pESuWfJEKxJdEEhZKFDC5,Alice Lee,United States
245,5yCkSShz4MTqE4Lp6fVZMz,Barrett Wilbert Weed,United States
246,5pESuWfJEKxJdEEhZKFDC5,Alice Lee,United States
247,5U2zidY0OdTB6P5axinwOZ,Jessica Keenan Wynn,United States
248,3OPl8pWnz8rdYTiaNQ0eMv,Mike Faist,United States
249,6qGkLCMQkNGOJ079iEcC5k,Ben Platt,United States
250,5bi4lyuj5ZrayYKlibl9ij,Original Broadway Cast of Dear Evan Hansen,Netherlands
251,73sIMDrtvzFVs4Y1WkUpTd,Rachel Bay Jones,United States
252,6qGkLCMQkNGOJ079iEcC5k,Ben Platt,United States
253,6qGkLCMQkNGOJ079iEcC5k,Ben Platt,United States
254,5hqM93qFRmwRv3QGrLO0jK,Laura Dreyfuss,United States
255,5bi4lyuj5ZrayYKlibl9ij,Original Broadway Cast of Dear Evan Hansen,Netherlands
256,6qGkLCMQkNGOJ079iEcC5k,Ben Platt,United States
257,5hqM93qFRmwRv3QGrLO0jK,Laura Dreyfuss,United States
258,5hqM93qFRmwRv3QGrLO0jK,Laura Dreyfuss,United States
259,3OPl8pWnz8rdYTiaNQ0eMv,Mike Faist,United States
260,6qGkLCMQkNGOJ079iEcC5k,Ben Platt,United States
261,73sIMDrtvzFVs4Y1WkUpTd,Rachel Bay Jones,United States
262,6qGkLCMQkNGOJ079iEcC5k,Ben Platt,United States
263,5bi4lyuj5ZrayYKlibl9ij,Original Broadway Cast of Dear Evan Hansen,Netherlands
264,0EcmCI0dVPDdkPciENZ6x7,Kerry Butler,United States
265,5yCkSShz4MTqE4Lp6fVZMz,Barrett Wilbert Weed,United States
266,1f0vGTFXE64SLuypBV8zB0,Taylor Louderman,United States
267,5yCkSShz4MTqE4Lp6fVZMz,Barrett Wilbert Weed,United States
268,1f0vGTFXE64SLuypBV8zB0,Taylor Louderman,United States
269,5yCkSShz4MTqE4Lp6fVZMz,Barrett Wilbert Weed,United States
270,5yCkSShz4MTqE4Lp6fVZMz,Barrett Wilbert Weed,United States
271,1f0vGTFXE64SLuypBV8zB0,Taylor Louderman,United States
272,5yCkSShz4MTqE4Lp6fVZMz,Barrett Wilbert Weed,United States
273,1moxjboGR7GNWYIMWsRjgG,Florence + The Machine,England
274,20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,United States
275,20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,United States
276,20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,United States
277,20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,United States
278,20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,United States
279,4RVnAU35WRWra6OZ3CbbMA,Kylie Minogue,Australia
280,4RVnAU35WRWra6OZ3CbbMA,Kylie Minogue,Australia
281,4RVnAU35WRWra6OZ3CbbMA,Kylie Minogue,Australia
0,20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,United States
1,4RVnAU35WRWra6OZ3CbbMA,Kylie Minogue,Australia
2,4RVnAU35WRWra6OZ3CbbMA,Kylie Minogue,Australia
3,4RVnAU35WRWra6OZ3CbbMA,Kylie Minogue,Australia
4,0lZoBs4Pzo7R89JM9lxwoT,Duran Duran,United Kingdom
5,762310PdDnwsDxAQxzQkfX,Depeche Mode,United Kingdom
6,762310PdDnwsDxAQxzQkfX,Depeche Mode,United Kingdom
7,6c4sUNBgdonFJz8Kx2VsGz,Madcon,Norway
8,4e0nWw2r4BoQSKPQ2zpU13,Ray Dalton,Seattle
9,6c4sUNBgdonFJz8Kx2VsGz,Madcon,Norway
10,5UoVLCWzOKMIJ9iioof9OD,CeCe Peniston,United States
11,26dSoYclwsYLMAKD3tpOr4,Britney Spears,United States
12,6zlR5ttMfMNmwf2lecU9Cc,Sam Fender,United Kingdom
13,3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,United States
14,3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,United States
15,3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,United States
16,3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,United States
17,3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,United States
18,26dSoYclwsYLMAKD3tpOr4,Britney Spears,United States
19,2wY79sveU1sp5g7SokKOiI,Sam Smith,United Kingdom
20,6zlR5ttMfMNmwf2lecU9Cc,Sam Fender,United Kingdom
21,6zlR5ttMfMNmwf2lecU9Cc,Sam Fender,United Kingdom
22,6zlR5ttMfMNmwf2lecU9Cc,Sam Fender,United Kingdom
23,6zlR5ttMfMNmwf2lecU9Cc,Sam Fender,United Kingdom
24,6zlR5ttMfMNmwf2lecU9Cc,Sam Fender,United Kingdom